Neighborhood,Num,Street Address,activity_notes,type,size,other,other2,address,name,lat,lng
מרכז העיר,758,המלך ג'ורג' 56,,מקלט,800,,,ירושלים המלך ג'ורג' 56 מרכז העיר,Jerusalem758,31.7819264,35.21959349999999
מרכז העיר,932,הגלבוע 38,,מקלט,100,,,ירושלים הגלבוע 38 מרכז העיר,Jerusalem932,31.7830058,35.212869
מרכז העיר,973,הרב אבידע 5,,מקלט,100,,,ירושלים הרב אבידע 5 מרכז העיר,Jerusalem973,31.7777006,35.2166985
מרכז העיר,974,שמואל הנגיד 9,,מקלט,100,,,ירושלים שמואל הנגיד 9 מרכז העיר,Jerusalem974,31.77967319999999,35.2147312
מרכז העיר,985,שטראוס 13,,מקלט,50,,,ירושלים שטראוס 13 מרכז העיר,Jerusalem985,31.7819264,35.21959349999999
נווה שאנן,939,נוה שאנן 17,,מקלט,100,,,ירושלים נוה שאנן 17 נווה שאנן,Jerusalem939,31.7720169,35.2010572
נחלאות,647,אלוף שאלתיאל 2,,מקלט,80,,,ירושלים אלוף שאלתיאל 2 נחלאות,Jerusalem647,31.784848,35.2105883
נחלאות,657,צפת 21,,מקלט,500,,,ירושלים צפת 21 נחלאות,Jerusalem657,31.784848,35.2105883
סנהדריה,602,הסנהדרין 6,,מחסה,100,,,ירושלים הסנהדרין 6 סנהדריה,Jerusalem602,31.79726399999999,35.220288
עין כרם,903,חומת הצלפים 82,,מקלט,120,,,ירושלים חומת הצלפים 82 עין כרם,Jerusalem903,31.7682071,35.1636146
עיר גנים ,829,הרקפת 9,,מקלט,100,,,ירושלים הרקפת 9 עיר גנים ,Jerusalem829,31.7535735,35.1666505
עיר גנים,840,קוסטה ריקה 70,,מקלט,100,,,ירושלים קוסטה ריקה 70 עיר גנים,Jerusalem840,31.7528384,35.1670535
עיר גנים,901,איסלנד 13,,מקלט,150,,,ירושלים איסלנד 13 עיר גנים,Jerusalem901,31.7591071,35.1665208
עיר גנים,902,הנורית 29,,מקלט,250,,,ירושלים הנורית 29 עיר גנים,Jerusalem902,31.7546734,35.1690152
עיר גנים,905,הנרד 1,,מקלט,138,,,ירושלים הנרד 1 עיר גנים,Jerusalem905,31.7570072,35.1708159
עמק רפאים,670,בוסתנאי 9,,מקלט,140,,,ירושלים בוסתנאי 9 עמק רפאים,Jerusalem670,31.7661875,35.2223659
עמק רפאים,672,רות 10,,מקלט,150,,,ירושלים רות 10 עמק רפאים,Jerusalem672,31.7659588,35.222031
עמק רפאים,673,מלל 3,,מקלט,114,,,ירושלים מלל 3 עמק רפאים,Jerusalem673,31.7634619,35.2185825
עמק רפאים,674 6,באכר 7,,מקלט,150,,,ירושלים באכר 7 עמק רפאים,Jerusalem674 6,31.7663199,35.2227148
עמק רפאים,676,אמיל זולא 6,,מקלט,100,,,ירושלים אמיל זולא 6 עמק רפאים,Jerusalem676,31.7643611,35.2210073
עמק רפאים,677,וינדהם דידס 6,,מקלט,290,,,ירושלים וינדהם דידס 6 עמק רפאים,Jerusalem677,31.763875,35.2213078
עמק רפאים,692,עמק רפאים 60,,מחסה,,,,ירושלים עמק רפאים 60 עמק רפאים,Jerusalem692,31.7612795,35.2165345
עמק רפאים,693,יותם 9,,מקלט,170,,,ירושלים יותם 9 עמק רפאים,Jerusalem693,31.7625121,35.2147181
עמק רפאים,696,ריש לקיש 3,,מקלט,164,,,ירושלים ריש לקיש 3 עמק רפאים,Jerusalem696,31.7610918,35.2133427
עמק רפאים,697,יהושע בן נון 27,,מקלט,160,,,ירושלים יהושע בן נון 27 עמק רפאים,Jerusalem697,31.764312,35.2206299
עמק רפאים,804,המליץ 8,,מקלט,100,,,ירושלים המליץ 8 עמק רפאים,Jerusalem804,31.7647027,35.2196121
קטמון,702,חלפתא 12,,מקלט,380,,,ירושלים חלפתא 12 קטמון,Jerusalem702,31.7595221,35.2075598
קטמון,718,רבי צדוק 6,,מקלט,120,,,ירושלים רבי צדוק 6 קטמון,Jerusalem718,31.7543075,35.1938511
קטמון,755,דב הוז 3,,מקלט,100,,,ירושלים דב הוז 3 קטמון,Jerusalem755,31.756184,35.1966235
קטמון,756,סן מרטין 1,,מקלט,100,,,ירושלים סן מרטין 1 קטמון,Jerusalem756,31.761,35.207
קטמון,757,השומר 5,,מקלט,100,,,ירושלים השומר 5 קטמון,Jerusalem757,31.761,35.207
קטמון,805,יורדי הסירה 21,,מקלט,370,,,ירושלים יורדי הסירה 21 קטמון,Jerusalem805,31.7622002,35.2107496
קטמון,817,בן גמלא יהושע 7,,מקלט,120,,,ירושלים בן גמלא יהושע 7 קטמון,Jerusalem817,31.7625729,35.2172409
קטמון,824,"רשב""ג 31",,מקלט,150,,,"ירושלים רשב""ג 31 קטמון",Jerusalem824,31.7552236,35.2086146
קטמון,825,אלעזר בן יאיר 24,,מקלט,150,,,ירושלים אלעזר בן יאיר 24 קטמון,Jerusalem825,31.7534272,35.201658
קטמון,828,הרב חסדא 10,,מקלט,100,,,ירושלים הרב חסדא 10 קטמון,Jerusalem828,31.7595573,35.213266
קטמון,831,דב הוז 7,,מקלט,150,,,ירושלים דב הוז 7 קטמון,Jerusalem831,31.7560538,35.1954492
קטמון,842,בר יוחאי 8,,מקלט,174,,,ירושלים בר יוחאי 8 קטמון,Jerusalem842,31.7529631,35.195397
קטמון,906,בר יוחאי 2,,מקלט,100,,,ירושלים בר יוחאי 2 קטמון,Jerusalem906,31.7541317,35.1987596
קטמון,923,אלעזר המודעי 15,,מקלט,100,,,ירושלים אלעזר המודעי 15 קטמון,Jerusalem923,31.761699,35.213869
קטמון,937,חזקיהו המלך 38,,מקלט,100,,,ירושלים חזקיהו המלך 38 קטמון,Jerusalem937,31.7614742,35.2096607
קטמון,965,יצחק שדה 7,,מקלט,100,,,ירושלים יצחק שדה 7 קטמון,Jerusalem965,31.7535723,35.1964302
קטמון,967,אנטיגונוס 7,,מקלט,100,,,ירושלים אנטיגונוס 7 קטמון,Jerusalem967,31.7579232,35.2097132
קטמון,969,יוסי בן יועזר 16,,מקלט,100,,,ירושלים יוסי בן יועזר 16 קטמון,Jerusalem969,31.7567059,35.2087293
קטמון,976,אלמליח אברהם 41,,מקלט,50,,,ירושלים אלמליח אברהם 41 קטמון,Jerusalem976,31.755315,35.191999
קטמון,981,אלמליח אברהם 27,,מקלט,50,,,ירושלים אלמליח אברהם 27 קטמון,Jerusalem981,31.7543051,35.1920082
קטמון,987,יוחנן בו זכאי 38,,מקלט,100,,,ירושלים יוחנן בו זכאי 38 קטמון,Jerusalem987,31.761,35.207
קטמון הישנה,671,"כ""ט בנובמבר 22",,מקלט,160,,,"ירושלים כ""ט בנובמבר 22 קטמון הישנה",Jerusalem671,31.7660489,35.2140282
קטמון הישנה,703,יוחנן בן זכאי 53,,מקלט,170,,,ירושלים יוחנן בן זכאי 53 קטמון הישנה,Jerusalem703,31.761,35.207
קריית היובל,720,בוליביה 14,,מקלט,365,,,ירושלים בוליביה 14 קריית היובל,Jerusalem720,31.7546911,35.1783307
קריית היובל,721,אורוגוואי 29,,מקלט,130,,,ירושלים אורוגוואי 29 קריית היובל,Jerusalem721,31.7554891,35.1773017
קריית היובל,722,שטרן אברהם 67,,מקלט,130,,,ירושלים שטרן אברהם 67 קריית היובל,Jerusalem722,31.7563747,35.1766545
קריית היובל,723,שטרן אברהם 51,,מקלט,130,,,ירושלים שטרן אברהם 51 קריית היובל,Jerusalem723,31.7540446,35.1766657
קריית היובל,724,וולטה העלית 7,,מקלט,90,,,ירושלים וולטה העלית 7 קריית היובל,Jerusalem724,31.7580229,35.1783829
קריית היובל,736,צ'ילה 8,,מקלט,200,,,ירושלים צ'ילה 8 קריית היובל,Jerusalem736,31.7605238,35.1704658
קריית היובל,737,קורצאק יאנוש 32,,מקלט,150,,,ירושלים קורצאק יאנוש 32 קריית היובל,Jerusalem737,31.76272,35.174674
קריית היובל,738,אנילביץ 78,,מקלט,90,,,ירושלים אנילביץ 78 קריית היובל,Jerusalem738,31.7619861,35.173213
קריית היובל,739,שמורק 3,,מקלט,90,,,ירושלים שמורק 3 קריית היובל,Jerusalem739,31.76272,35.174674
קריית היובל,741,זנגויל ישראל 4,,מקלט,90,,,ירושלים זנגויל ישראל 4 קריית היובל,Jerusalem741,31.767264,35.1782831
קריית היובל,814,וולטה עלית 3,,מקלט,130,,,ירושלים וולטה עלית 3 קריית היובל,Jerusalem814,31.7592274,35.1772095
קריית היובל,814א,וולטה העלית 3,,מקלט,130,,,ירושלים וולטה העלית 3 קריית היובל,Jerusalem814א,31.7592274,35.1772095
קריית היובל,815,רבינוביץ אהרון 2,,מקלט,168,,,ירושלים רבינוביץ אהרון 2 קריית היובל,Jerusalem815,31.7651059,35.1752983
קריית היובל,815א,רבינוביץ אהרון 2,,מקלט,170,,,ירושלים רבינוביץ אהרון 2 קריית היובל,Jerusalem815א,31.7651059,35.1752983
קריית היובל,963,זנגויל ישראל 11,,מקלט,100,,,ירושלים זנגויל ישראל 11 קריית היובל,Jerusalem963,31.7658085,35.1773224
קריית היובל,983,גורדון 10,,מקלט,100,,,ירושלים גורדון 10 קריית היובל,Jerusalem983,31.76272,35.174674
קריית היובל,991,שרון אברהם 2,,מקלט,100,,,ירושלים שרון אברהם 2 קריית היובל,Jerusalem991,31.7639081,35.1730133
קריית היובל,992,אטינגר 21,,מקלט,100,,,ירושלים אטינגר 21 קריית היובל,Jerusalem992,31.7630303,35.1772564
קריית היובל,993,קליינמן 3,,מקלט,100,,,ירושלים קליינמן 3 קריית היובל,Jerusalem993,31.7638815,35.1746754
קריית מנחם,729,דהומיי 7,,מקלט,250,,,ירושלים דהומיי 7 קריית מנחם,Jerusalem729,31.7559385,35.1658768
קריית מנחם,734,איסלנד 17,,מקלט,130,,,ירושלים איסלנד 17 קריית מנחם,Jerusalem734,31.7594792,35.165388
קריית מנחם,734א,איסלנד 17,,מקלט,170,,,ירושלים איסלנד 17 קריית מנחם,Jerusalem734א,31.7594792,35.165388
קריית מנחם,803,הנריטה סולד 10,,מקלט,113,,,ירושלים הנריטה סולד 10 קריית מנחם,Jerusalem803,31.7605249,35.164417
קריית מנחם,827,מקסיקו 4,,מקלט,100,,,ירושלים מקסיקו 4 קריית מנחם,Jerusalem827,31.7594846,35.1688985
קריית משה,748,העילוי 2,,מקלט,134,,,ירושלים העילוי 2 קריית משה,Jerusalem748,31.7879321,35.1955473
קריית משה,978, יצחק יהודה 13,,מקלט,100,,,ירושלים  יצחק יהודה 13 קריית משה,Jerusalem978,31.784153,35.192678
קריית שמואל,667,"הפלמ""ח 22",,מקלט,180,,,"ירושלים הפלמ""ח 22 קריית שמואל",Jerusalem667,31.767478,35.2110332
קריית שמואל,971,"הפלמ""ח 16",,,100,,,"ירושלים הפלמ""ח 16 קריית שמואל",Jerusalem971,31.7678118,35.2120205
קרית משה,977,גת 23,,מקלט,100​,,,ירושלים גת 23 קרית משה,Jerusalem977,31.786549,35.1935178
רוממה,606,פנינה 1,,מקלט,80,,,ירושלים פנינה 1 רוממה,Jerusalem606,31.7914796,35.2058748
רוממה,750,זכרון יעקב 5,,מקלט,130,,,ירושלים זכרון יעקב 5 רוממה,Jerusalem750,31.7914796,35.2058748
רוממה,933,"המ""ג 38",,מקלט,100,,,"ירושלים המ""ג 38 רוממה",Jerusalem933,31.7957931,35.1991455
רוממה,975א,זיכרון יעקב 15,,מקלט,50,,,ירושלים זיכרון יעקב 15 רוממה,Jerusalem975א,31.7914796,35.2058748
רוממה,975ב,זיכרון יעקב 17,,מקלט,50,,,ירושלים זיכרון יעקב 17 רוממה,Jerusalem975ב,31.7914796,35.2058748
רוממה,975ג,זכרון יעקב 19,,מקלט,50,,,ירושלים זכרון יעקב 19 רוממה,Jerusalem975ג,31.7914796,35.2058748
רוממה,975ד,זכרון יעקב 21,,מקלט,50,,,ירושלים זכרון יעקב 21 רוממה,Jerusalem975ד,31.7914796,35.2058748
רוממה,979,זכרון יעקב 10,,מקלט,100,,,ירושלים זכרון יעקב 10 רוממה,Jerusalem979,31.7951012,35.201072
רחביה,658,אבן עזרא 13,,מקלט,80,,,ירושלים אבן עזרא 13 רחביה,Jerusalem658,31.7755467,35.2141171
רחביה,659,אבן גבירול 15,,מקלט,160,,,ירושלים אבן גבירול 15 רחביה,Jerusalem659,31.7750746,35.2154265
רחביה,809,"רשב""א 9",,מקלט,90,,,"ירושלים רשב""א 9 רחביה",Jerusalem809,31.7732291,35.2107395
רחביה,810,עובדיה מברטנורה 9,,מקלט,150,,,ירושלים עובדיה מברטנורה 9 רחביה,Jerusalem810,31.7730719,35.2166988
רחביה,,עזה 50,,מקלט,120,,,ירושלים עזה 50 רחביה,Jerusalemnan,31.771597,35.2123937
רחביה ,835,ארלוזורוב 18,,מקלט,190,,,ירושלים ארלוזורוב 18 רחביה ,Jerusalem835,31.7722262,35.2159416
רחביה,972,אלחריזי 26,,מקלט,100,,,ירושלים אלחריזי 26 רחביה,Jerusalem972,31.7762718,35.2142244
שמואל הנביא,604,חכם שמעון 8,,מקלט,100,,,ירושלים חכם שמעון 8 שמואל הנביא,Jerusalem604,31.7873241,35.2266858
שמואל הנביא,907​,​שמואל הנביא 26,,מקלט,120,,,ירושלים ​שמואל הנביא 26 שמואל הנביא,Jerusalem907​,31.794755,35.221775
שמואל הנביא,957,אבינדב 19,,מקלט,450,,,ירושלים אבינדב 19 שמואל הנביא,Jerusalem957,31.7945714,35.2189116
תלפיות,679,דרך חברון 59,,מקלט,200,,,ירושלים דרך חברון 59 תלפיות,Jerusalem679,31.7634002,35.2256433
תלפיות,688,אפרתה 18,,מקלט,200,,,ירושלים אפרתה 18 תלפיות,Jerusalem688,31.7525005,35.2218446
תלפיות,689,בן גבריאל 34,,מקלט,90,,,ירושלים בן גבריאל 34 תלפיות,Jerusalem689,31.7488831,35.2199039
תלפיות,690,קלוזנר 12,,מקלט,240,,,ירושלים קלוזנר 12 תלפיות,Jerusalem690,31.74900199999999,35.2234756
תלפיות,691,דרך בית לחם 93,,מקלט,440,,,ירושלים דרך בית לחם 93 תלפיות,Jerusalem691,31.7520878,35.2189322
תלפיות,940,שלום יהודה 17,,מקלט,100,,,ירושלים שלום יהודה 17 תלפיות,Jerusalem940,31.7495558,35.2193321
